Fermeture,triCode,Sens,Nbr,Tunnel
A14&NEU-W,A14,W,24,LA_DEFENSE
A14&NEU-W,NEU,W,3,NEUILLY
A14&NEU-W,ECH,W,1,ECHANGEUR_NANTERRE
A14&NEU-W,ECH,I>W,2,ECHANGEUR_NANTERRE
A14&NEU-W,ECH,E>W,4,ECHANGEUR_NANTERRE
A14&NEU-W,ECH,E>Y,2,ECHANGEUR_NANTERRE
A14&NEU-Y,A14,Y,22,LA_DEFENSE
A14&NEU-Y,NEU,Y,1,NEUILLY
A14&NEU-Y,ECH,W>I,2,ECHANGEUR_NANTERRE
BAP&SCL-W,SCL,W,7,SAINT-CLOUD
BAP&SCL-W,BAP,W,8,AMBROISE_PARE
BAP&SCL-Y,SCL,Y,6,SAINT-CLOUD
BAP&SCL-Y,BAP,Y,7,AMBROISE_PARE
BIC&ITA-W,BIC,W,5,BICETRE
BIC&ITA-Y,ITA,Y,3,ITALIE
BIC&ITA-Y,BIC,Y,5,BICETRE
BLN&CRN-E,CRN,E,2,LA_COURNEUVE
BLN&CRN-E,BDR,E,12,BOBIGNY
BLN&CRN-E,LNO,E,2,LUMEN_NORTON
BLN&CRN-I,CRN,I,2,LA_COURNEUVE
BLN&CRN-I,BDR,I,13,BOBIGNY
BLN&CRN-I,LNO,I,2,LUMEN_NORTON
BOI-W,BOI,W,4,BOISSY
BOI-Y,BOI,Y,4,BOISSY
CHA-W,CHA,W,6,CHAMPIGNY
CHA-Y,CHA,Y,7,CHAMPIGNY
CHE,CHE,W,1,CHENNEVIERES
CHE,CHE,Y,1,CHENNEVIERES
FLF-W,FLF,W,4,FONTENAY
FLF-Y,FLF,Y,4,FONTENAY
FRE&ANT-E,FRE,E,1,FRESNES
FRE&ANT-E,ANT,E,5,ANTONY
FRE&ANT-I,ANT,I,5,ANTONY
FRE&ANT-I,FRE,I,1,FRESNES
GMO&MOU-E,GMO,E,5,GUY-MOQUET
GMO&MOU-E,MOU,E,10,MOULIN
GMO&MOU-I,GMO,I,5,GUY-MOQUET
GMO&MOU-I,MOU,I,6,MOULIN
LAN-W,LAN,W,10,LANDY
LAN-Y,LAN,Y,10,LANDY
NAN-E,NAN,E,6,NANTERRE_CENTRE
NAN-E,ECH,Y>E,5,ECHANGEUR_NANTERRE
NAN-I,ECH,Y>I,1,ECHANGEUR_NANTERRE
NAN-I,NAN,I,6,NANTERRE_CENTRE
NOG-E,NOG,E,9,NOGENT
NOG-I,NOG,I,10,NOGENT
ORL,ORL,W,1,ORLY
ORL,ORL,Y,1,ORLY
RUE-E,RUE,E,8,BELLE-RIVE
RUE-I,RUE,I,7,BELLE-RIVE
SEV,SEV,W,3,SEVINES
SEV,SEV,Y,3,SEVINES
TAV,TAV,W,3,TAVERNY
TAV,TAV,Y,3,TAVERNY
