triCode,Sens,Fermeture
A14,W,A14&NEU-W
A14,Y,A14&NEU-Y
ANT,E,FRE&ANT-E
ANT,I,FRE&ANT-I
BAP,W,BAP&SCL-W
BAP,Y,BAP&SCL-Y
BDR,E,BLN&CRN-E
BDR,I,BLN&CRN-I
BIC,W,BIC&ITA-W
BIC,Y,BIC&ITA-Y
BOI,W,BOI-W
BOI,Y,BOI-Y
CHA,W,CHA-W
CHA,Y,CHA-Y
CHE,W,CHE
CHE,Y,CHE
CRN,E,BLN&CRN-E
CRN,I,BLN&CRN-I
ECH,E,A14&NEU-W
ECH,I>W,A14&NEU-W
ECH,E>W,A14&NEU-W
ECH,E>Y,A14&NEU-W
ECH,W>I,A14&NEU-Y
ECH,Y,A14&NEU-Y
ECH,Y>E,NAN-E
ECH,Y>I,NAN-I
FLF,W,FLF-W
FLF,Y,FLF-Y
FRE,E,FRE&ANT-E
FRE,I,FRE&ANT-I
GMO,E,GMO&MOU-E
GMO,I,GMO&MOU-I
ITA,W,BIC&ITA-W
ITA,Y,BIC&ITA-Y
LAN,W,LAN-W
LAN,Y,LAN-Y
LNO,E,BLN&CRN-E
LNO,I,BLN&CRN-I
MOU,E,GMO&MOU-E
MOU,I,GMO&MOU-I
NAN,E,NAN-E
NAN,I,NAN-I
NEU,W,A14&NEU-W
NEU,Y,A14&NEU-Y
NOG,E,NOG-E
NOG,I,NOG-I
ORL,W,ORL
ORL,Y,ORL
RUE,E,RUE-E
RUE,I,RUE-I
SCL,W,BAP&SCL-W
SCL,Y,BAP&SCL-Y
SEV,W,SEV
SEV,Y,SEV
TAV,W,TAV
TAV,Y,TAV
TRI,W,A14&NEU-W
TRI,Y,A14&NEU-Y
