nom_coswin,nom_sucombe
ANTONY,Antony
CHAMPIGNY,Champigny
FRESNES,Fresnes
ITALIE,Italie
LANDY,Landy
NEUILLY,Neuilly
NOGENT,Nogent
ORLY,Orly
TAVERNY,Taverny
AMBROISE_PARE,Ambroise PARE
BELLE-RIVE,Bellerive
BICETRE,Bicêtre
BOBIGNY,Bobigny-Lumen-Norton
BOISSY,Boissy-Saint-Léger
CHENNEVIERES,Chennevières
ECHANGEUR_NANTERRE,Nanterre / La Défense
FONTENAY,Fontenay le Fleury
GUY-MOQUET,Thiais
LA_COURNEUVE,La Courneuve
LA_DEFENSE,Nanterre / La Défense
LUMEN_NORTON,Bobigny-Lumen-Norton
MOULIN,Thiais
NANTERRE_CENTRE,Nanterre / La Défense
SAINT-CLOUD,Saint Cloud
SEVINES,Sévines
TRINITY,Nanterre / La Défense
